name,city,state,latitude,longitude,map_latitude,map_longitude,start_year,end_year,region
50 Cent,Farmington,CT,41.7278,72.8403,41.7278,72.8403,1998,present,NE
Ab-Soul,Los Angeles,CA,34.05,118.25,34.05,118.18,2003,present,SC
Action Bronson,Queens,NY,40.75,73.8667,40.75,73.8667,2008,present,NE
Aesop Rock,Syosset,NY,40.8128,73.5008,40.8128,73.5008,1996,present,NE
Andre 3000,Atlanta,GA,33.755,84.39,33.755,84.39,1991,present,S
A$AP Rocky,Harlem,NY,40.809,73.9484,40.809,73.9484,2007,present,NE
Asher Roth,Morrisville,PA,40.2075,74.78,40.2075,74.78,2005,present,NE
Atmosphere,Minneapolis,MN,44.9778,93.265,44.9778,93.6,1989,present,MW
Beastie Boys,New York City,NY,40.7127,74.0059,40.7127,74.0059,1981,2012,NE
Big Boi,Savannah,GA,32.0167,81.1167,32.0167,81.1167,1992,present,S
Big Daddy Kane,Brooklyn,NY,40.6928,73.9903,40.6928,73.9903,1987,present,NE
Big Krit,Meridian,MI,32.3747,88.7042,32.3747,88.7042,2005,present,S
Big Punisher,Bronx,NY,40.8373,73.886,40.8373,73.886,1989,2000,NE
Big Sean,Detroit,MI,42.3314,83.0458,42.3314,83.6,2007,present,MW
Black Star,Brooklyn,NY,40.6928,73.9903,40.6928,73.9903,1997,present,NE
Blackalicious,Sacremento,CA,38.5556,121.4689,38.5556,121.4689,1992,present,NC
Blue Scholars,Seattle,WA,47.6097,122.3331,47.55,122.4,2002,present,W
Bone Thugs N' Harmony,Cleveland,OH,41.4822,81.6697,41.4822,81.6697,1992,present,MW
Brother Ali,Madison,WI,43.0667,89.4,43.0667,89.4,1998,present,MW
Busdriver,Los Angeles,CA,34.05,118.25,34,118.22,1999,present,SC
Busta Rhymes,Brooklyn,NY,40.6928,73.9903,40.6928,73.9903,1989,present,NE
Cam'ron,Harlem,NY,40.809,73.9484,40.809,73.9484,1993,present,NE
Canibus,New York City,NY,40.7127,74.0059,40.7127,74.0059,1992,present,NE
Chance the Rapper,Chicago,IL,41.8369,87.6847,42.3,87.6847,2009,present,MW
Charles Hamilton,Harlem,NY,40.809,73.9484,40.809,73.9484,2005,present,NE
Chief Keef,Chicago,IL,41.8369,87.6847,42.1,88.3,2011,present,MW
Chuck D,Roosevelt,NY,40.6792,73.5856,40.6792,73.5856,1986,present,NE
Common,Chicago,IL,41.8369,87.6847,41.9,87,1992,present,MW
CunninLynguists,Lexington,KN,38.0297,84.4947,38.0297,84.4947,2000,present,MW
Currensy,New Orleans,LA,29.95,90.0667,30.2,89.1,2002,present,S
Cypress Hill,South Gate,CA,33.9442,118.195,33.9442,118.195,1988,present,SC
Danny Brown,Detroit,MI,42.3314,83.0458,42,83.0458,2003,present,MW
De la Soul,Long Island,NY,40.8,73.3,40.8,73.3,1987,present,NE
Del the Funky Homosapien,Oakland,CA,37.8044,122.2708,37.8044,122.3,1988,present,NC
