name,city,state,latitude,longitude,map_latitude,map_longitude,start_year,end_year,region,external_links
50 Cent,Farmington,CT,41.7278,72.8403,41.7278,72.8403,1998,present,NE,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://50cent.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000919805"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/8e68819d-71be-4e7d-b41d-f1df81b01d3f"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/79578"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm1265067/"">IMDb</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/50cent"">50cent</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://musicmoz.org/Bands_and_Artists/5/50_Cent/"">MusicMoz</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/50_cent"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/50cent"">@50cent</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/50cent"">50cent</a>
          
          
        </li>               <li class=""spotify-favicon"">
          
          
          <a href=""https://play.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh"">Stream at Spotify</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/62764191"">VIAF: 62764191</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q6060"">Q6060</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/50_Cent"">en: 50 Cent</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/50CentVEVO"">50CentVEVO</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/8e68819d-71be-4e7d-b41d-f1df81b01d3f/relationships"" title=""50 Cent""><bdi>View all relationships</bdi></a></li></ul>"
Ab-Soul,Los Angeles,CA,34.05,118.25,34.05,118.18,2003,present,SC,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0002043281"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/2327281"">Discogs</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Ab-Soul"">Ab-Soul</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/jusab"">jusab</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/ab_soul"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/absoul"">@absoul</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/AbSoulmusic"">AbSoulmusic</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q3449364"">Q3449364</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Ab-Soul"">en: Ab-Soul</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/acc12019-10e3-40aa-b4bf-66fbb4a692af/relationships"" title=""Ab-Soul""><bdi>View all relationships</bdi></a></li></ul>"
Action Bronson,Queens,NY,40.75,73.8667,40.72,73.95,2008,present,NE,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.actionbronson.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0002457866"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/1479204"">Discogs</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/actionbronson56"">actionbronson56</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/action_bronson"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/ActionBronson"">@ActionBronson</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/ActionBronsonMusic"">ActionBronsonMusic</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/actionbronson"">actionbronson</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q2823641"">Q2823641</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Action_Bronson"">en: Action Bronson</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/MrActionBronson"">MrActionBronson</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/031bc934-28c9-491a-8648-c078450187dc/relationships"" title=""Bronson, Action""><bdi>View all relationships</bdi></a></li></ul>"
Aesop Rock,Syosset,NY,40.8128,73.5008,40.8128,73.5008,1996,present,NE,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000929573"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/aba64937-3334-4c65-90a1-4e6b9d4d7ada"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/28104"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm1952454/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Aesop+Rock"">Aesop Rock</a>
          
          
        </li>               <li class=""genius-favicon"">
          
          
          <a href=""http://genius.com/artists/Aesop-rock"">Genius</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/aesoprockwins"">aesoprockwins</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/AesopRockWins/"">@AesopRockWins</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/pages/Aesop-Rock-Official/114273635264412"">Aesop-Rock-Official</a>
          
          
        </li>               <li class=""spotify-favicon"">
          
          
          <a href=""http://open.spotify.com/artist/2fSaE6BXtQy0x7R7v9IOmZ"">Stream at Spotify</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q381883"">Q381883</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Aesop_Rock"">en: Aesop Rock</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/aba64937-3334-4c65-90a1-4e6b9d4d7ada/relationships"" title=""Aesop Rock""><bdi>View all relationships</bdi></a></li></ul>"
Andre 3000,Atlanta,GA,33.755,84.39,33.755,84.39,1991,present,S,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000750249"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/f563a1a9-069b-41ed-8b3b-e1b1a6f5b34b"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/170365"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0071275/"">IMDb</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/andre_3000"">Rateyourmusic</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q448837"">Q448837</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Andr%C3%A9_3000"">en: André 3000</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/f563a1a9-069b-41ed-8b3b-e1b1a6f5b34b/relationships"" title=""André 3000""><bdi>View all relationships</bdi></a></li></ul>"
A$AP Rocky,Harlem,NY,40.809,73.9484,40.798,73.89,2007,present,NE,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.asvpxrocky.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0002772593"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/2409771"">Discogs</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/A$AP+Rocky"">A$AP Rocky</a>
          
          
        </li>               <li class=""genius-favicon"">
          
          
          <a href=""http://genius.com/artists/A-ap-rocky"">Genius</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/a_ap_rocky"">Rateyourmusic</a>
          
          
        </li>               <li class=""iTunes-favicon"">
          
          
          <a href=""https://itunes.apple.com/artist/id481488005"">iTunes</a>
          
          
        </li>               <li class=""instagram-favicon"">
          
          
          <a href=""https://instagram.com/asvpxrocky/"">@asvpxrocky</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/asvpxrocky"">@asvpxrocky</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/asaprocky"">asaprocky</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/asvpxrocky"">asvpxrocky</a>
          
          
        </li>               <li class=""spotify-favicon"">
          
          
          <a href=""https://play.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca"">Stream at Spotify</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q129910"">Q129910</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/ASAP_Rocky"">en: ASAP Rocky</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/ASAPROCKYUPTOWN"">ASAPROCKYUPTOWN</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/LIVELOVEASAPVEVO"">LIVELOVEASAPVEVO</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/25b7b584-d952-4662-a8b9-dd8cdfbfeb64/relationships"" title=""ASAP Rocky""><bdi>View all relationships</bdi></a></li></ul>"
Asher Roth,Morrisville,PA,40.2075,74.78,40.2075,74.78,2005,present,NE,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://asherrothmusic.com/"">Official homepage</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/1447802"">Discogs</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/asherrothmusic"">asherrothmusic</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q469756"">Q469756</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Asher_Roth"">en: Asher Roth</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/c7d35b71-961e-4713-b65d-35a98591204a/relationships"" title=""Roth, Asher""><bdi>View all relationships</bdi></a></li></ul>"
Atmosphere,Minneapolis,MN,44.9778,93.265,44.9778,93.6,1989,present,MW,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000932045"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/ef954679-5ee7-4016-acef-7ac71f2fa3d8"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/57765"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm2282786/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Atmosphere"">Atmosphere</a>
          
          
        </li>               <li class=""genius-favicon"">
          
          
          <a href=""http://genius.com/artists/Atmosphere"">Genius</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""//lyrics.wikia.com/Atmosphere"">LyricWiki</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/atmosphere"">atmosphere</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/atmosphere"">Rateyourmusic</a>
          
          
        </li>               <li class=""worldcat-favicon"">
          
          
          <a href=""http://www.worldcat.org/identities/lccn-no2002091122/"">WorldCat</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.purevolume.com/atmosphere"">PureVolume</a>
          
          
        </li>               <li class=""instagram-favicon"">
          
          
          <a href=""https://instagram.com/atmosphere"">@atmosphere</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/atmosphere"">@atmosphere</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/Atmosphere"">Atmosphere</a>
          
          
        </li>               <li class=""spotify-favicon"">
          
          
          <a href=""https://open.spotify.com/artist/1GAS0rb4L8VTPvizAx2O9J"">Stream at Spotify</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/148086452"">VIAF: 148086452</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q757508"">Q757508</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Atmosphere_(music_group)"">en: Atmosphere (music group)</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/ef954679-5ee7-4016-acef-7ac71f2fa3d8/relationships"" title=""Atmosphere (Minneapolis hip‐hop duo Slug &amp; Ant)""><bdi>View all relationships</bdi></a></li></ul>"
Beastie Boys,New York City,NY,40.7127,74.0059,40.73,74.05,1981,2012,NE,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.beastieboys.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000038469"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/9beb62b2-88db-4cea-801e-162cd344ee53"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/10783"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm1561997/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Beastie+Boys"">Beastie Boys</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""//lyrics.wikia.com/Beastie_Boys"">LyricWiki</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/beastieboys"">beastieboys</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://musicmoz.org/Bands_and_Artists/B/Beastie_Boys/"">MusicMoz</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/beastie_boys"">Rateyourmusic</a>
          
          
        </li>               <li class=""musiksammler-favicon"">
          
          
          <a href=""http://www.musik-sammler.de/artist/3837"">Musik-Sammler</a>
          
          
        </li>               <li class=""worldcat-favicon"">
          
          
          <a href=""http://www.worldcat.org/identities/lccn-n93075368/"">WorldCat</a>
          
          
        </li>               <li class=""iTunes-favicon"">
          
          
          <a href=""https://itunes.apple.com/us/artist/id1971863"">iTunes</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.purevolume.com/beastieboystribute"">PureVolume</a>
          
          
        </li>               <li class=""secondhandsongs-favicon"">
          
          
          <a href=""http://www.secondhandsongs.com/artist/479"">SecondHandSongs</a>
          
          
        </li>               <li class=""googleplus-favicon"">
          
          
          <a href=""https://plus.google.com/116095135251218767473"">Google+</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/beastieboys"">@beastieboys</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/beastieboys"">beastieboys</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/beastieboys"">beastieboys</a>
          
          
        </li>               <li class=""spotify-favicon"">
          
          
          <a href=""http://open.spotify.com/artist/03r4iKL2g2442PT9n2UKsx"">Stream at Spotify</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/136961742"">VIAF: 136961742</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q214039"">Q214039</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Beastie_Boys"">en: Beastie Boys</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/BeastieBoysVEVO"">BeastieBoysVEVO</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/9beb62b2-88db-4cea-801e-162cd344ee53/relationships"" title=""Beastie Boys""><bdi>View all relationships</bdi></a></li></ul>"
Big Boi,Savannah,GA,32.0167,81.1167,32.0167,81.1167,1992,present,S,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://bigboi.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000046458"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/9724aa19-fdf9-49d0-9f9d-944e462e2a5c"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/137602"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0092216/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Big+Boi"">Big Boi</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/bigboi"">bigboi</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/big_boi"">Rateyourmusic</a>
          
          
        </li>               <li class=""secondhandsongs-favicon"">
          
          
          <a href=""http://www.secondhandsongs.com/artist/16083"">SecondHandSongs</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/bigboi"">@bigboi</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/BigBoi"">BigBoi</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/big-boi"">big-boi</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/49431842"">VIAF: 49431842</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q371202"">Q371202</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Big_Boi"">en: Big Boi</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/bigboi"">bigboi</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/9724aa19-fdf9-49d0-9f9d-944e462e2a5c/relationships"" title=""Big Boi""><bdi>View all relationships</bdi></a></li></ul>"
